Particle num,x,y,vx,vy,ay,ep,ek,cellRow,cellCol
54,763.503540,269.661072,26.447559,0.242519,-9.800000,0.000000,0.000000,1,4
55,201.926117,558.676819,4.640261,-1.606179,-9.800000,0.000000,0.000000,3,1
56,392.742981,738.284851,10.932865,17.652754,-9.800000,0.000000,0.000000,4,2
57,70.577393,341.041962,18.911566,6.937068,-9.800000,0.000000,0.000000,2,0
58,186.034729,491.105713,26.756788,2.171928,-9.800000,0.000000,0.000000,3,1
59,758.817444,657.931580,21.586609,0.438696,-9.800000,0.000000,0.000000,4,4
60,787.866516,430.774323,20.222685,15.707821,-9.800000,0.000000,0.000000,2,4
61,327.188751,640.079651,19.748074,-0.563650,-9.800000,0.000000,0.000000,4,2
62,779.023560,389.325989,22.479841,20.868549,-9.800000,0.000000,0.000000,2,4
63,368.150848,600.081543,15.472207,0.558641,-9.800000,0.000000,0.000000,3,2
64,600.556458,404.086456,9.528022,26.936022,-9.800000,0.000000,0.000000,2,3
65,205.799545,302.016907,5.325776,14.787756,-9.800000,0.000000,0.000000,1,1
66,699.210571,283.316559,17.044859,18.779997,-9.800000,0.000000,0.000000,1,4
67,686.659241,387.467163,15.979463,26.377745,-9.800000,0.000000,0.000000,2,4
68,373.024384,775.398193,17.629950,14.304932,-9.800000,0.000000,0.000000,4,2
69,730.836548,252.007263,2.896813,15.617693,-9.800000,0.000000,0.000000,1,4
70,28.384571,596.769592,27.258408,26.918955,-9.800000,0.000000,0.000000,3,0
71,786.186584,616.229370,29.638763,-1.548228,-9.800000,0.000000,0.000000,3,4
72,46.573204,97.428345,16.861584,24.560545,-9.800000,0.000000,0.000000,0,0
73,507.042694,777.474731,11.014539,0.211582,-9.800000,0.000000,0.000000,4,3
74,488.577515,706.430298,9.889543,23.776014,-9.800000,0.000000,0.000000,4,3
75,683.473877,12.744056,7.684956,10.566367,-9.800000,0.000000,0.000000,0,4
76,465.944580,745.758118,18.276491,13.878632,-9.800000,0.000000,0.000000,4,2
77,24.997786,292.662933,8.736290,13.220703,-9.800000,0.000000,0.000000,1,0
78,141.439865,548.966980,29.848700,26.308201,-9.800000,0.000000,0.000000,3,0
79,539.525024,238.756927,28.434343,15.026445,-9.800000,0.000000,0.000000,1,3
80,599.072266,25.546324,9.775586,26.337334,-9.800000,0.000000,0.000000,0,3
81,65.275436,13.797831,22.323961,9.850934,-9.800000,0.000000,0.000000,0,0
82,459.532318,127.361511,9.128085,11.875288,-9.800000,0.000000,0.000000,0,2
83,268.025848,550.925964,25.172531,16.814077,-9.800000,0.000000,0.000000,3,1
84,513.536377,253.371033,29.617762,8.535004,-9.800000,0.000000,0.000000,1,3
85,50.138378,373.468384,12.469782,23.897144,-9.800000,0.000000,0.000000,2,0
86,659.008240,284.244354,29.783752,18.403217,-9.800000,0.000000,0.000000,1,4
87,434.116150,396.046631,10.982151,8.883169,-9.800000,0.000000,0.000000,2,2
88,632.696716,535.559570,19.777706,12.301998,-9.800000,0.000000,0.000000,3,3
89,215.434128,606.269226,16.600555,5.868842,-9.800000,0.000000,0.000000,3,1
90,252.533630,612.060425,21.543278,25.941719,-9.800000,0.000000,0.000000,3,1
91,390.665619,68.111313,9.314039,17.553249,-9.800000,0.000000,0.000000,0,2
92,735.738098,591.147095,2.095276,7.733487,-9.800000,0.000000,0.000000,3,4
93,613.432373,794.745911,10.178137,25.005268,-9.800000,0.000000,0.000000,4,3
94,685.197205,207.011383,27.463505,26.514702,-9.800000,0.000000,0.000000,1,4
95,37.542957,467.773193,26.177822,-1.502216,-9.800000,0.000000,0.000000,2,0
96,513.341492,261.900635,27.524246,23.779350,-9.800000,0.000000,0.000000,1,3
97,396.444305,163.261124,9.175897,23.152695,-9.800000,0.000000,0.000000,1,2
98,99.322762,491.801086,11.280495,1.051904,-9.800000,0.000000,0.000000,3,0
99,629.221558,115.468636,24.282894,22.517227,-9.800000,0.000000,0.000000,0,3
100,49.629921,569.194641,27.446514,4.651722,-9.800000,0.000000,0.000000,3,0
1,482.841888,461.290466,7.692969,-1.175090,-9.800000,0.000000,0.000000,2,3
2,232.429169,279.066589,22.569069,17.171867,-9.800000,0.000000,0.000000,1,1
3,649.419373,191.501572,21.569263,6.934857,-9.800000,0.000000,0.000000,1,4
4,391.302979,758.763062,25.396225,7.207639,-9.800000,0.000000,0.000000,4,2
5,197.536880,22.938540,16.455929,8.190134,-9.800000,0.000000,0.000000,0,1
6,592.922729,586.239868,5.123831,7.496038,-9.800000,0.000000,0.000000,3,3
7,697.996338,473.447937,5.911376,21.415258,-9.800000,0.000000,0.000000,2,4
8,586.773376,766.638672,13.369925,12.823509,-9.800000,0.000000,0.000000,4,3
9,467.105042,701.759583,8.296652,6.146653,-9.800000,0.000000,0.000000,4,2
10,612.593140,425.867706,2.375705,-21.525993,-9.800000,0.000000,0.000000,2,3
11,48.243637,27.032335,2.473782,-2.107805,-9.800000,0.000000,0.000000,0,0
12,604.652954,527.447693,17.900354,20.116688,-9.800000,0.000000,0.000000,3,3
13,589.910278,411.787994,27.319445,24.362259,-9.800000,0.000000,0.000000,2,3
14,488.310089,227.323715,3.750965,8.873323,-9.800000,0.000000,0.000000,1,3
15,624.570923,430.450500,9.117619,-2.938001,-9.800000,0.000000,0.000000,2,3
16,425.962769,260.662933,21.280546,18.012232,-9.800000,0.000000,0.000000,1,2
17,508.506897,15.155922,13.643383,14.515905,-9.800000,0.000000,0.000000,0,3
18,537.466431,353.888733,20.365473,5.672365,-9.800000,0.000000,0.000000,2,3
19,18.086618,255.369141,24.448080,13.882944,-9.800000,0.000000,0.000000,1,0
20,406.676300,536.560730,26.686630,24.747454,-9.800000,0.000000,0.000000,3,2
21,418.220428,609.908020,15.112594,1.896283,-9.800000,0.000000,0.000000,3,2
22,734.810425,405.910431,24.658594,5.746175,-9.800000,0.000000,0.000000,2,4
23,86.809982,451.499786,21.296114,5.788100,-9.800000,0.000000,0.000000,2,0
24,745.757996,453.458984,18.725588,17.303717,-9.800000,0.000000,0.000000,2,4
25,105.002365,233.522736,13.234764,9.042613,-9.800000,0.000000,0.000000,1,0
26,505.252197,607.077393,4.119312,1.000709,-9.800000,0.000000,0.000000,3,3
27,691.772949,708.175232,1.119934,17.161312,-9.800000,0.000000,0.000000,4,4
28,193.805542,252.612137,9.067613,14.216084,-9.800000,0.000000,0.000000,1,1
29,301.890900,565.028137,16.996862,9.896661,-9.800000,0.000000,0.000000,3,1
